Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_B04001_001,SE_B04001_002,SE_B04001_003,SE_B04001_004,SE_B04001_005,SE_B04001_006,SE_B04001_007,SE_B04001_008,SE_B04001_009,SE_B04001_010,PCT_SE_B04001_002,PCT_SE_B04001_003,PCT_SE_B04001_004,PCT_SE_B04001_005,PCT_SE_B04001_006,PCT_SE_B04001_007,PCT_SE_B04001_008,PCT_SE_B04001_009,PCT_SE_B04001_010,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008,PCT_SE_A12001_002,PCT_SE_A12001_003,PCT_SE_A12001_004,PCT_SE_A12001_005,PCT_SE_A12001_006,PCT_SE_A12001_007,PCT_SE_A12001_008,SE_A17005_001,SE_A17005_002,SE_A17005_003,PCT_SE_A17005_002,PCT_SE_A17005_003,SE_A14006_001,SE_A14008_001,SE_A10014_001,SE_A10014_002,SE_A10014_003,PCT_SE_A10014_002,PCT_SE_A10014_003,SE_A14024_001,SE_A13003B_001,SE_A13003B_002,SE_A13003B_003,PCT_SE_A13003B_002,PCT_SE_A13003B_003,SE_A13003C_001,SE_A13003C_002,SE_A13003C_003,PCT_SE_A13003C_002,PCT_SE_A13003C_003,SE_A20001_001,SE_A20001_002,SE_A20001_003,SE_A20001_004,SE_A20001_005,PCT_SE_A20001_002,PCT_SE_A20001_003,PCT_SE_A20001_004,PCT_SE_A20001_005
"0101","50000US0101","Congressional District 1 (116th Congress)","Congressional District 1 (116th Congress), Alabama","al","500","00","ACSSF","0008120",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,"01",,,,,,,,,,,,,,,,,,706503,116.4521,6066.89995474882,706503,683855,459898,193875,7279,10156,143,1764,10740,22648,96.79,65.09,27.44,1.03,1.44,0.02,0.25,1.52,3.21,482421,62851,159203,143142,77118,29727,6782,3598,13.03,33,29.67,15.99,6.16,1.41,0.75,314706,294619,20087,93.62,6.38,47952,66084.6639257695,265120,3365,261755,1.27,98.73,26318,412903,67566,345337,16.36,83.64,117025,11517,105508,9.84,90.16,693975,78981,614994,261311,444460,11.38,88.62,37.65,64.05
"0102","50000US0102","Congressional District 2 (116th Congress)","Congressional District 2 (116th Congress), Alabama","al","500","00","ACSSF","0008121",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,"02",,,,,,,,,,,,,,,,,,680575,67.09888,10142.8666264091,680575,656410,420590,211747,2535,7574,82,847,13035,24165,96.45,61.8,31.11,0.37,1.11,0.01,0.12,1.92,3.55,461250,71673,147741,138174,64504,29190,6108,3860,15.54,32.03,29.96,13.98,6.33,1.32,0.84,304568,283125,21443,92.96,7.04,46817,63939.3938102965,258203,3602,254601,1.4,98.6,25511,401098,69367,331731,17.29,82.71,106944,11007,95937,10.29,89.71,660416,68101,592315,255314,432689,10.31,89.69,38.66,65.52
"0103","50000US0103","Congressional District 3 (116th Congress)","Congressional District 3 (116th Congress), Alabama","al","500","00","ACSSF","0008122",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,"03",,,,,,,,,,,,,,,,,,706705,93.68365,7543.52586652911,706705,684817,478120,179170,1963,12713,168,720,11963,21888,96.9,67.65,25.35,0.28,1.8,0.02,0.1,1.69,3.1,472759,72736,148994,148526,61027,29650,6497,5329,15.39,31.52,31.42,12.91,6.27,1.37,1.13,321181,298928,22253,93.07,6.93,46576,62954.0412370377,272231,4526,267705,1.66,98.34,25172,423552,76599,346953,18.08,81.92,108760,11736,97024,10.79,89.21,694207,63305,630902,256058,474393,9.12,90.88,36.88,68.34
"0104","50000US0104","Congressional District 4 (116th Congress)","Congressional District 4 (116th Congress), Alabama","al","500","00","ACSSF","0008123",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,"04",,,,,,,,,,,,,,,,,,683391,76.87991,8889.0720543879,683391,639036,571190,47200,4774,3751,297,412,11412,44355,93.51,83.58,6.91,0.7,0.55,0.04,0.06,1.67,6.49,471629,87083,161553,141914,49765,22744,5153,3417,18.46,34.25,30.09,10.55,4.82,1.09,0.72,294807,277526,17281,94.14,5.86,43458,59978.9254970656,259171,3628,255543,1.4,98.6,23865,402100,67608,334492,16.81,83.19,118840,11804,107036,9.93,90.07,677202,73044,604158,263719,440734,10.79,89.21,38.94,65.08
"0105","50000US0105","Congressional District 5 (116th Congress)","Congressional District 5 (116th Congress), Alabama","al","500","00","ACSSF","0008124",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,"05",,,,,,,,,,,,,,,,,,714145,194.1765,3677.81306785977,714145,677764,518936,123821,4343,11757,493,1315,17099,36381,94.91,72.67,17.34,0.61,1.65,0.07,0.18,2.39,5.09,490800,59951,132457,142109,98811,44794,6204,6474,12.21,26.99,28.95,20.13,9.13,1.26,1.32,343828,323913,19915,94.21,5.79,55043,75808.7029125525,282055,5335,276720,1.89,98.11,30809,431071,58374,372697,13.54,86.46,110171,10118,100053,9.18,90.82,702921,65281,637640,227205,515642,9.29,90.71,32.32,73.36
"0106","50000US0106","Congressional District 6 (116th Congress)","Congressional District 6 (116th Congress), Alabama","al","500","00","ACSSF","0008125",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,"06",,,,,,,,,,,,,,,,,,703715,168.7074,4171.21492763673,703715,669725,535082,107947,1410,12186,134,1412,11554,33990,95.17,76.04,15.34,0.2,1.73,0.02,0.2,1.64,4.83,482235,46509,123025,138627,107900,43425,14625,8124,9.64,25.51,28.75,22.37,9,3.03,1.68,347394,330918,16476,95.26,4.74,65464,89008.3693345175,265732,3235,262497,1.22,98.78,34527,420430,41820,378610,9.95,90.05,106609,8155,98454,7.65,92.35,695085,52381,642704,198297,533382,7.54,92.46,28.53,76.74
"0107","50000US0107","Congressional District 7 (116th Congress)","Congressional District 7 (116th Congress), Alabama","al","500","00","ACSSF","0008126",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,"07",,,,,,,,,,,,,,,,,,669646,65.94124,10155.1934294676,669646,649927,212914,421977,939,5799,204,1033,7061,19719,97.06,31.8,63.01,0.14,0.87,0.03,0.15,1.05,2.94,438864,69240,147199,134656,56318,22312,5060,4079,15.78,33.54,30.68,12.83,5.08,1.15,0.93,298122,267679,30443,89.79,10.21,36447,51767.4678088277,257757,6947,250810,2.7,97.3,21272,404521,97617,306904,24.13,75.87,95537,14642,80895,15.33,84.67,661234,76381,584853,283803,380348,11.55,88.45,42.92,57.52
"1000","50000US1000","Congressional District (at Large) (116th Congress)","Congressional District (at Large) (116th Congress), Delaware","de","500","00","ACSSF","0001173",,,,,"10",,,,,,,,,,,,,,,,,,,,,,,,"00",,,,,,,,,,,,,,,,,,949495,487.3596,1948.24296019904,949495,863180,595623,204665,2851,36464,276,1804,21497,86315,90.91,62.73,21.56,0.3,3.84,0.03,0.19,2.26,9.09,659979,67482,208557,176708,120794,62275,12399,11764,10.22,31.6,26.77,18.3,9.44,1.88,1.78,479447,450946,28501,94.06,5.94,65627,86962.183556245,357765,7844,349921,2.19,97.81,33989,560888,64042,496846,11.42,88.58,163109,10684,152425,6.55,93.45,934743,56491,878252,347151,674095,6.04,93.96,37.14,72.12
"1198","50000US1198","Delegate District (at Large) (116th Congress)","Delegate District (at Large) (116th Congress), District of Columbia","dc","500","00","ACSSF","0000656",,,,,"11",,,,,,,,,,,,,,,,,,,,,,,,"98",,,,,,,,,,,,,,,,,,684498,11196.4,61.1355666512741,684498,609722,248057,315281,1314,26278,280,2648,15864,74776,89.08,36.24,46.06,0.19,3.84,0.04,0.39,2.32,10.92,486981,45805,83572,77255,118817,100571,40220,20741,9.41,17.16,15.86,24.4,20.65,8.26,4.26,398567,369194,29373,92.63,7.37,82604,121698.079425001,281322,10145,271177,3.61,96.39,53321,451838,68326,383512,15.12,84.88,79137,11463,67674,14.49,85.51,674258,27088,647170,242603,469473,4.02,95.98,35.98,69.63
"1201","50000US1201","Congressional District 1 (116th Congress)","Congressional District 1 (116th Congress), Florida","fl","500","00","ACSSF","0020070",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,"01",,,,,,,,,,,,,,,,,,759701,189.0881,4017.70831370647,759701,710847,556565,100105,3506,19244,1025,1154,29248,48854,93.57,73.26,13.18,0.46,2.53,0.13,0.15,3.85,6.43,520956,47820,139555,188519,94410,37715,7697,5240,9.18,26.79,36.19,18.12,7.24,1.48,1.01,350049,328928,21121,93.97,6.03,55779,74435.989455977,288315,5067,283248,1.76,98.24,29546,446777,52705,394072,11.8,88.2,119891,7863,112028,6.56,93.44,721170,80051,641119,251160,504141,11.1,88.9,34.83,69.91
